NumberOfGroups, Error, EmptyGroups, EmptyPercentage, NonEmptyGroups, group
36,2.5736504599857004,1,0.027777777777777776,35,............ 25 3 10 10 1 3 21 1 11 11 11 0 10 32 1 18 24 1 0 18 2 5 11 32 2 6 1 3 5 18 2 6 3 11 12 11 5 32 0 8 0 6 6 3 11 25 32 18 0 13 23 10 11 0 3 5 3 1 1 4 5 18 6 18 18 35 0 11 10 3 23 3 23 32 5 0 12 1 28 1 1 4 0 18 22 35 32 18 17 5 5 9 23 4 4 5 34 3 10 6
37,2.5767668773374743,1,0.02702702702702703,36,............ 25 3 10 10 1 3 31 1 11 11 11 0 10 32 1 18 24 1 0 18 2 5 11 32 2 6 1 3 5 18 2 6 3 11 12 11 5 32 0 8 0 6 6 3 11 25 32 18 0 21 23 10 11 0 3 5 3 1 1 4 5 18 6 18 18 13 0 11 10 3 23 3 23 32 5 0 12 1 28 1 1 4 0 18 22 13 32 18 17 5 5 9 23 4 4 5 34 3 10 6
38,2.6340950016177285,1,0.02631578947368421,37,............ 25 3 10 10 1 3 31 1 11 11 11 0 10 32 1 18 24 1 0 18 2 5 11 32 2 6 1 3 5 18 2 6 3 11 12 11 5 32 0 8 0 6 6 3 11 25 32 18 0 21 23 10 11 0 3 5 3 1 1 4 5 18 6 18 18 37 0 11 10 3 23 3 23 32 5 0 12 1 28 1 1 4 0 18 22 37 32 18 17 5 5 9 23 4 4 5 34 3 10 6
39,2.5917309118105267,1,0.02564102564102564,38,............ 25 3 10 10 1 3 31 1 11 11 11 0 10 32 1 18 24 1 0 18 2 5 11 32 2 6 1 3 5 18 2 6 3 11 12 11 5 32 0 8 0 6 6 3 11 25 32 18 0 21 23 10 11 0 3 5 3 1 1 4 5 18 6 18 18 37 0 11 10 3 23 3 23 32 5 0 12 1 28 1 1 4 0 18 22 37 32 18 17 5 5 9 23 4 4 5 34 3 10 6
40,2.582678981006606,1,0.025,39,............ 25 3 10 10 1 3 31 1 11 11 11 0 10 32 1 18 24 1 0 18 2 5 11 32 2 6 1 3 5 18 2 6 3 11 12 11 5 32 0 8 0 6 6 3 11 25 32 18 0 21 23 10 11 0 3 5 3 1 1 4 5 18 6 18 18 37 0 11 10 3 23 3 23 32 5 0 12 1 28 1 1 4 0 18 22 37 32 18 17 5 5 9 23 4 4 5 34 3 10 6
41,2.6537137345157933,1,0.024390243902439025,40,............ 25 3 10 10 1 3 16 1 11 11 11 0 10 32 1 18 24 1 0 18 2 5 11 32 2 6 1 3 5 18 2 6 3 11 12 11 5 32 0 8 0 6 6 3 11 25 32 18 0 21 23 10 11 0 3 5 3 1 1 4 5 18 6 18 18 37 0 11 10 3 23 3 23 32 5 0 12 1 28 1 1 4 0 18 22 37 32 18 17 5 5 9 23 4 4 5 34 3 10 6
42,2.7122231958633014,1,0.023809523809523808,41,............ 25 3 10 10 1 3 16 1 11 11 11 0 10 32 1 18 24 1 0 18 2 5 11 32 2 6 1 3 5 18 2 6 3 11 12 11 5 32 0 8 0 6 6 3 11 25 32 18 0 21 23 10 11 0 3 5 3 1 1 4 5 18 6 18 18 37 0 11 10 3 23 3 23 32 5 0 12 1 28 1 1 4 0 18 22 37 32 18 17 5 5 9 23 4 4 5 34 3 10 6
43,2.7152123900759806,1,0.023255813953488372,42,............ 25 3 10 10 1 3 36 1 11 11 11 0 10 32 1 18 24 1 0 18 2 5 11 32 2 6 1 3 5 18 2 6 3 11 12 11 5 32 0 8 0 6 6 3 11 25 32 18 0 31 23 10 11 0 3 5 3 1 1 4 5 18 6 18 18 37 0 11 10 3 23 3 23 32 5 0 12 1 28 1 1 4 0 18 22 37 32 18 17 5 5 9 23 4 4 5 34 3 10 6
44,1.884431348502585,1,0.022727272727272728,43,............ 25 3 10 10 1 3 43 1 11 11 11 0 10 32 1 18 24 1 0 18 2 5 11 32 2 6 1 3 5 18 2 6 3 11 12 11 5 32 0 8 0 6 6 3 11 25 32 18 0 31 23 10 11 0 3 5 3 1 1 4 5 18 6 18 18 37 0 11 10 3 23 3 23 32 5 0 12 1 28 1 1 4 0 18 22 37 32 18 17 5 5 9 23 4 4 5 34 3 10 6
45,1.8936092273677698,2,0.044444444444444446,43,............ 25 3 10 10 1 3 43 1 11 11 11 0 10 32 1 18 24 1 0 18 2 5 11 32 2 6 1 3 5 18 2 6 3 11 12 11 5 32 0 8 0 6 6 3 11 25 32 18 0 31 23 10 11 0 3 5 3 1 1 4 5 18 6 18 18 21 0 11 10 3 23 3 23 32 5 0 12 1 28 1 1 4 0 18 22 37 32 18 17 5 5 9 23 4 4 5 34 3 10 6
46,1.9646531580039062,2,0.043478260869565216,44,............ 25 3 10 10 1 3 36 1 11 11 11 0 10 32 1 18 24 1 0 18 2 5 11 32 2 6 1 3 5 18 2 6 3 11 12 11 5 32 0 8 0 6 6 3 11 25 32 18 0 16 23 10 11 0 3 5 3 1 1 4 5 18 6 18 18 21 0 11 10 3 23 3 23 32 5 0 12 1 28 1 1 4 0 18 22 37 32 18 17 5 5 9 23 4 4 5 34 3 10 6
47,1.9632292029980203,3,0.06382978723404255,44,............ 25 3 10 10 1 3 36 1 11 11 11 0 10 32 1 18 24 1 0 18 2 5 11 32 2 6 1 3 5 18 2 6 3 11 12 11 5 32 0 8 0 6 6 3 11 25 32 18 0 16 23 10 11 0 3 5 3 1 1 4 5 18 6 18 18 21 0 11 10 3 23 3 23 32 5 0 12 1 28 1 1 4 0 18 22 37 32 18 17 5 5 9 23 4 4 5 34 3 10 6
48,1.9258008168244503,3,0.0625,45,............ 25 3 10 10 1 3 36 1 11 11 11 0 10 32 1 18 24 1 0 18 2 5 11 32 2 6 1 3 5 18 2 6 3 11 12 11 5 32 0 8 0 6 6 3 11 25 32 18 0 16 23 10 11 0 3 5 3 1 1 4 5 18 6 18 18 47 0 11 10 3 23 3 23 32 5 0 12 1 28 1 1 4 0 18 22 37 32 18 17 5 5 9 23 4 4 5 34 3 10 6
