NumberOfGroups, Error, EmptyGroups, EmptyPercentage, NonEmptyGroups, group
45,0.6555011273859821,5,0.1111111111111111,40,............ 0 0 0 0 0 0 3 0 2 0 1 0 0 8 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 1 0 0 6 0 0 0 0 0 7 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 3 0 0 1
46,0.6555011273859821,5,0.10869565217391304,41,............ 0 0 0 0 0 0 3 0 2 0 1 0 0 8 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 1 0 0 6 0 0 0 0 0 7 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 3 0 0 1
47,0.6555011273859821,5,0.10638297872340426,42,............ 0 0 0 0 0 0 3 0 2 0 1 0 0 8 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 1 0 0 6 0 0 0 0 0 7 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 3 0 0 1
48,0.6555011273859821,5,0.10416666666666667,43,............ 0 0 0 0 0 0 3 0 2 0 1 0 0 8 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 1 0 0 6 0 0 0 0 0 7 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 3 0 0 1
49,0.6555011273859821,5,0.10204081632653061,44,............ 0 0 0 0 0 0 3 0 2 0 1 0 0 8 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 1 0 0 6 0 0 0 0 0 7 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 3 0 0 1
50,0.6555011273859821,5,0.1,45,............ 0 0 0 0 0 0 3 0 2 0 1 0 0 8 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 1 0 0 6 0 0 0 0 0 7 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 3 0 0 1
51,0.6555011273859821,5,0.09803921568627451,46,............ 0 0 0 0 0 0 3 0 2 0 1 0 0 8 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 1 0 0 6 0 0 0 0 0 7 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 3 0 0 1
52,0.6555011273859821,5,0.09615384615384616,47,............ 0 0 0 0 0 0 3 0 2 0 1 0 0 8 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 1 0 0 6 0 0 0 0 0 7 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 3 0 0 1
53,0.6555011273859821,5,0.09433962264150944,48,............ 0 0 0 0 0 0 3 0 2 0 1 0 0 8 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 1 0 0 6 0 0 0 0 0 7 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 3 0 0 1
54,0.6555011273859821,5,0.09259259259259259,49,............ 0 0 0 0 0 0 3 0 2 0 1 0 0 8 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 1 0 0 6 0 0 0 0 0 7 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 3 0 0 1
55,0.6555011273859821,5,0.09090909090909091,50,............ 0 0 0 0 0 0 3 0 2 0 1 0 0 8 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 1 0 0 6 0 0 0 0 0 7 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 3 0 0 1
56,0.6555011273859821,5,0.08928571428571429,51,............ 0 0 0 0 0 0 3 0 2 0 1 0 0 8 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 1 0 0 6 0 0 0 0 0 7 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 3 0 0 1
57,0.6555011273859821,5,0.08771929824561403,52,............ 0 0 0 0 0 0 3 0 2 0 1 0 0 8 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 1 0 0 6 0 0 0 0 0 7 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 3 0 0 1
58,0.6555011273859821,5,0.08620689655172414,53,............ 0 0 0 0 0 0 3 0 2 0 1 0 0 8 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 1 0 0 6 0 0 0 0 0 7 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 3 0 0 1
59,0.6555011273859821,5,0.0847457627118644,54,............ 0 0 0 0 0 0 3 0 2 0 1 0 0 8 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 1 0 0 6 0 0 0 0 0 7 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 3 0 0 1
60,0.6555011273859821,5,0.08333333333333333,55,............ 0 0 0 0 0 0 3 0 2 0 1 0 0 8 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 1 0 0 6 0 0 0 0 0 7 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 3 0 0 1
61,0.6555011273859821,5,0.08196721311475409,56,............ 0 0 0 0 0 0 3 0 2 0 1 0 0 8 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 1 0 0 6 0 0 0 0 0 7 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 3 0 0 1
62,0.6555011273859821,5,0.08064516129032258,57,............ 0 0 0 0 0 0 3 0 2 0 1 0 0 8 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 1 0 0 6 0 0 0 0 0 7 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 3 0 0 1
