NumberOfGroups, Error, EmptyGroups, EmptyPercentage, NonEmptyGroups, group
43,1.13816966147766,0,0.0,43,............ 42 0 18 33 16 19 17 10 30 7 11 25 30 37 35 2 24 5 30 2 32 10 4 13 4 4 15 30 35 2 3 4 3 41 30 18 8 39 41 40 30 4 11 25 30 42 30 2 39 27 25 19 41 30 4 18 41 25 2 22 29 2 20 2 2 12 15 18 30 18 0 20 18 22 9 7 22 8 12 41 41 28 10 2 7 34 3 2 26 0 0 15 1 13 29 5 36 6 22 20
44,1.139403189949727,0,0.0,44,............ 42 0 18 33 16 19 17 10 30 7 11 25 30 37 35 2 24 5 30 2 32 10 4 13 4 4 15 30 35 2 3 4 3 41 30 18 8 39 41 40 30 4 11 25 30 42 30 2 39 27 25 19 41 30 4 18 41 25 2 22 29 2 20 2 2 12 15 18 30 18 0 20 18 22 9 7 43 8 12 41 41 28 10 2 7 34 3 2 26 0 0 15 1 13 29 5 36 6 22 20
45,1.137849352828189,0,0.0,45,............ 42 0 18 33 16 19 17 10 30 7 11 25 30 37 35 2 24 5 30 2 32 10 4 13 4 4 15 30 35 2 3 4 3 41 30 18 8 39 41 40 30 4 11 25 30 42 30 2 39 27 25 19 41 30 4 18 41 25 2 22 29 2 20 2 2 12 15 18 30 18 0 20 18 22 9 7 43 8 44 41 41 28 10 2 7 34 3 2 26 0 0 15 1 13 29 5 36 6 22 20
46,1.1270399996120517,0,0.0,46,............ 42 0 18 33 16 19 17 10 30 7 11 25 30 37 35 2 24 5 30 2 32 10 4 13 4 4 15 30 35 2 3 4 3 41 30 18 8 39 41 40 30 4 11 25 30 42 30 2 39 27 25 19 41 30 4 18 41 25 2 22 29 2 20 2 2 12 15 18 30 18 0 20 18 22 9 7 43 8 44 41 41 28 10 2 7 34 3 2 26 0 0 15 1 45 29 5 36 6 22 20
47,1.1360296397397311,0,0.0,47,............ 42 0 18 33 16 19 26 10 30 7 11 25 30 37 35 2 24 5 30 2 34 10 4 13 4 4 15 30 35 2 3 4 3 41 30 18 8 39 41 40 30 4 11 25 30 42 30 2 39 23 25 19 41 30 4 18 41 25 2 22 29 2 20 2 2 12 15 18 30 18 0 20 18 22 9 7 43 8 44 41 41 28 10 2 7 34 3 2 27 0 0 15 1 45 29 5 21 6 22 20
48,1.120474869604562,0,0.0,48,............ 42 0 18 33 16 19 26 10 30 7 11 25 30 37 35 2 24 5 30 47 34 10 4 13 4 4 15 30 35 2 3 4 3 41 30 18 8 39 41 40 30 4 11 25 30 42 30 47 39 23 25 19 41 30 4 18 41 25 2 22 29 47 20 2 47 12 15 18 30 18 0 20 18 22 9 7 43 8 44 41 41 28 10 2 7 34 3 47 27 0 0 15 1 45 29 5 21 6 22 20
49,1.1117264793546937,0,0.0,49,............ 42 0 18 33 16 19 26 10 30 7 11 25 30 37 35 2 24 5 30 47 34 10 4 13 4 4 15 30 35 2 3 4 3 41 30 18 8 39 41 40 30 4 11 25 30 42 30 47 39 23 25 19 41 30 4 18 41 25 2 22 29 47 20 2 47 12 15 18 30 18 0 20 18 22 9 7 43 8 44 41 41 28 10 2 7 34 3 47 27 0 0 15 1 48 29 5 21 6 22 20
50,1.1179808386564887,0,0.0,50,............ 42 0 18 33 16 19 26 10 30 7 11 25 30 37 35 2 24 5 30 47 34 10 4 13 4 4 15 30 35 2 3 4 3 41 30 18 8 39 41 40 30 4 11 25 30 42 30 47 39 23 25 19 41 30 4 18 41 25 2 22 29 47 20 2 47 12 15 18 30 18 0 20 18 22 9 7 43 8 44 41 41 28 10 2 7 34 3 47 27 0 0 15 1 48 29 5 21 6 22 20
51,1.103480666409519,0,0.0,51,............ 42 0 18 33 16 19 26 10 30 7 11 25 30 37 35 2 24 5 50 47 34 10 4 13 4 4 15 30 35 2 3 4 3 41 30 18 8 39 41 40 50 4 11 25 50 42 30 47 39 23 25 19 41 30 4 18 41 25 2 22 29 47 20 2 47 12 15 18 50 18 0 20 18 22 9 7 43 8 44 41 41 28 10 2 7 34 3 47 27 0 0 15 1 48 29 5 21 6 22 20
52,1.1162648315680923,0,0.0,52,............ 42 0 18 33 16 19 26 10 30 7 11 25 30 37 35 2 24 5 50 47 34 10 4 13 4 4 15 30 35 2 3 4 3 41 30 18 8 39 41 40 50 4 11 25 50 42 30 47 39 23 25 19 41 30 4 18 41 25 2 51 29 47 20 2 47 12 15 18 50 18 0 20 51 22 9 7 43 8 44 41 41 28 10 2 7 34 3 47 27 0 0 15 1 48 29 5 21 6 51 20
53,1.1080051041516998,0,0.0,53,............ 42 0 18 33 16 19 26 10 30 7 11 25 30 37 35 2 24 5 50 47 34 10 4 13 4 4 15 30 35 2 3 4 3 41 30 18 8 39 41 40 50 4 11 25 50 42 30 47 39 23 25 19 41 30 4 18 41 25 2 51 29 47 20 2 47 12 15 18 50 18 0 20 52 22 9 7 43 8 44 41 41 28 10 2 7 34 3 47 27 0 0 15 1 48 29 5 21 6 51 20
54,1.0994501417414135,0,0.0,54,............ 42 0 18 33 16 19 26 10 30 7 11 25 30 37 35 2 24 5 50 47 34 10 4 13 4 4 15 30 35 2 3 4 3 41 30 18 8 53 41 40 50 4 11 25 50 42 30 47 39 23 25 19 41 30 4 18 41 25 2 51 29 47 20 2 47 12 15 18 50 18 0 20 52 22 9 7 43 8 44 41 41 28 10 2 7 34 3 47 27 0 0 15 1 48 29 5 21 6 51 20
55,1.0982182799306346,0,0.0,55,............ 42 0 18 33 16 19 26 10 30 7 11 25 30 37 35 2 24 5 50 47 34 10 4 13 4 4 15 30 35 2 3 4 3 41 30 18 8 53 41 40 50 4 11 25 50 42 30 47 39 23 25 19 41 30 4 18 41 25 2 51 29 47 20 2 47 12 15 18 50 18 0 20 52 22 9 54 43 8 44 41 41 54 10 2 7 34 3 47 27 0 0 15 1 48 29 5 21 6 51 20
56,1.116175980519962,0,0.0,56,............ 42 0 18 33 16 19 27 10 30 7 11 25 30 37 35 2 36 5 50 47 34 10 4 13 4 4 15 30 35 2 3 4 3 41 30 18 8 53 41 40 50 4 11 25 50 42 30 47 39 46 25 19 41 30 4 18 41 25 2 51 29 47 20 2 47 12 15 18 50 18 0 20 52 22 9 54 43 8 44 41 41 54 10 2 7 34 3 47 23 0 0 15 1 48 29 5 17 6 51 20
57,1.1136336604452914,0,0.0,57,............ 42 0 18 33 16 19 27 10 30 7 11 25 30 37 35 2 36 5 50 47 34 10 4 13 4 4 15 30 35 2 3 4 3 41 30 18 8 56 41 40 50 4 11 25 50 42 30 47 39 46 25 19 41 30 4 18 41 25 2 51 29 47 20 2 47 12 15 18 50 18 0 20 52 22 9 54 43 8 44 41 41 54 10 2 7 34 3 47 23 0 0 15 1 48 29 5 17 6 51 20
58,1.1721242108011587,0,0.0,58,............ 42 0 18 33 16 19 27 10 30 7 11 25 30 37 35 2 36 5 50 47 34 10 4 13 4 4 15 30 35 2 3 4 3 41 30 18 8 56 41 40 50 4 11 25 50 42 30 47 39 46 25 19 41 30 4 18 41 25 2 51 29 47 20 2 47 12 15 18 50 18 0 20 52 22 9 54 43 8 44 41 41 54 10 2 7 34 3 47 23 0 0 15 1 48 29 5 17 6 51 20
59,1.1764449499939842,0,0.0,59,............ 42 0 18 33 16 19 27 10 30 7 11 25 30 37 35 2 36 5 50 47 34 10 4 13 4 4 15 30 35 2 3 4 3 41 30 18 8 56 41 40 50 4 11 25 50 42 30 47 39 46 25 19 41 30 4 18 41 25 2 51 29 47 20 2 47 12 15 18 50 18 0 20 52 22 9 54 43 8 44 41 41 54 10 2 7 34 3 47 23 0 0 15 1 48 29 5 17 6 51 20
60,1.1744786016988773,0,0.0,60,............ 42 0 18 33 16 19 27 10 30 7 11 25 30 37 35 2 36 5 50 47 34 10 4 13 4 4 15 30 35 2 3 4 3 41 30 18 8 56 41 40 50 4 11 25 50 42 30 47 39 46 25 19 41 30 4 18 41 25 2 51 29 47 20 2 47 12 15 18 50 18 0 20 52 22 9 54 43 8 44 41 41 54 10 2 7 34 3 47 23 0 0 15 1 48 29 5 17 6 51 20
