NumberOfGroups, Error, EmptyGroups, EmptyPercentage, NonEmptyGroups, group
48,2.6116383740187845,1,0.020833333333333332,47,............ 6 5 8 5 19 5 43 2 21 10 10 19 1 26 1 1 38 0 6 25 15 19 1 17 13 6 19 1 5 0 1 3 9 17 0 9 0 10 13 38 9 0 15 6 10 37 6 3 1 32 13 6 6 4 3 4 10 1 2 17 10 6 19 13 0 0 2 38 13 20 19 38 6 12 1 18 3 1 25 3 12 9 3 19 4 4 9 3 27 0 1 6 10 6 0 33 15 19 3 5
49,2.592440451506976,2,0.04081632653061224,47,............ 6 5 8 5 19 5 43 2 21 10 10 19 1 26 1 1 38 0 6 25 15 19 1 17 13 6 19 1 5 0 1 3 9 17 0 9 0 10 13 38 9 0 15 6 10 37 6 3 1 32 13 6 6 4 3 4 10 1 2 17 10 6 19 13 0 0 2 38 13 20 19 38 6 12 1 18 3 1 25 3 12 9 3 19 4 4 9 3 27 0 1 6 10 6 0 33 15 19 3 5
50,2.577480531365725,2,0.04,48,............ 6 5 8 5 19 5 49 2 21 10 10 19 1 26 1 1 38 0 6 25 15 19 1 17 13 6 19 1 5 0 1 3 9 17 0 9 0 10 13 38 9 0 15 6 10 37 6 3 1 32 13 6 6 4 3 4 10 1 2 17 10 6 19 13 0 0 2 38 13 20 19 38 6 12 1 18 3 1 25 3 12 9 3 19 4 4 9 3 27 0 1 6 10 6 0 33 15 19 3 5
51,2.0299010292982786,3,0.058823529411764705,48,............ 6 5 8 5 19 5 49 2 21 10 10 19 1 26 1 1 38 0 6 25 15 19 1 17 13 6 19 1 5 0 1 3 9 17 0 9 0 10 13 38 9 0 15 6 10 37 6 3 1 32 13 6 6 4 3 4 10 1 2 17 10 6 19 13 0 0 2 38 13 20 19 38 6 12 1 18 3 1 25 3 12 9 3 19 4 4 9 3 27 0 1 6 10 6 0 33 15 19 3 5
52,2.009678989857061,3,0.057692307692307696,49,............ 6 5 8 5 19 5 49 2 21 10 10 19 1 26 1 1 38 0 6 25 15 19 1 17 13 6 19 1 5 0 1 3 9 17 0 9 0 10 13 38 9 0 15 6 10 37 6 3 1 32 13 6 6 4 3 4 10 1 2 17 10 6 19 13 0 0 2 38 13 20 19 38 6 12 1 18 3 1 25 3 12 9 3 19 4 4 9 3 27 0 1 6 10 6 0 33 15 19 3 5
53,1.9851777091260052,3,0.05660377358490566,50,............ 6 5 8 5 19 5 49 2 21 10 10 19 1 26 1 1 38 0 6 25 15 19 1 17 13 6 19 1 5 0 1 3 9 17 0 9 0 10 13 38 9 0 15 6 10 37 6 3 1 32 13 6 6 4 3 4 10 1 2 17 10 6 19 13 0 0 2 38 13 20 19 38 6 12 1 18 3 1 25 3 12 9 3 19 4 4 9 3 27 0 1 6 10 6 0 33 15 19 3 5
54,2.004999521096923,4,0.07407407407407407,50,............ 6 5 8 5 19 5 49 2 21 10 10 19 1 26 1 1 38 0 6 25 15 19 1 17 13 6 19 1 5 0 1 3 9 17 0 9 0 10 13 38 9 0 15 6 10 37 6 3 1 32 13 6 6 4 3 4 10 1 2 17 10 6 19 13 0 0 2 38 13 20 19 38 6 12 1 53 3 1 25 3 12 9 3 19 4 4 9 3 27 0 1 6 10 6 0 33 15 19 3 5
55,2.065376940272571,4,0.07272727272727272,51,............ 6 5 8 5 19 5 49 2 21 10 10 19 1 26 1 1 38 0 6 25 15 19 1 17 13 6 19 1 5 0 1 3 9 17 0 9 0 10 13 38 9 0 15 6 10 37 6 3 1 32 13 6 6 4 3 4 10 1 2 17 10 6 19 13 0 0 2 38 13 20 19 38 6 12 1 53 3 1 25 3 12 9 3 19 4 4 9 3 27 0 1 6 10 6 0 54 15 19 3 5
56,2.214209494910561,5,0.08928571428571429,51,............ 6 5 8 5 19 5 49 2 21 10 10 19 1 26 1 1 38 0 6 25 15 19 1 17 13 6 19 1 5 0 1 3 9 17 0 9 0 10 13 38 9 0 15 6 10 37 6 3 1 32 13 6 6 4 3 4 10 1 2 17 10 6 19 13 0 0 2 38 13 20 19 38 6 12 1 53 3 1 25 3 12 9 3 19 4 4 9 3 27 0 1 6 10 6 0 54 15 19 3 5
57,2.2437847669296738,6,0.10526315789473684,51,............ 6 5 8 5 19 5 49 2 21 10 10 19 1 26 1 1 38 0 6 25 15 19 1 17 13 6 19 1 5 0 1 3 9 17 0 9 0 10 13 38 9 0 15 6 10 37 6 3 1 32 13 6 6 4 3 4 10 1 2 17 10 6 19 13 0 0 2 38 13 20 19 38 6 12 1 53 3 1 25 3 12 9 3 19 4 4 9 3 27 0 1 6 10 6 0 54 15 19 3 5
