NumberOfGroups, Error, EmptyGroups, EmptyPercentage, NonEmptyGroups, group
54,0.8618220781686632,0,0.0,54,............ 1 4 2 1 1 1 2 3 1 5 3 1 2 4 2 1 0 1 2 1 3 0 0 2 1 3 1 3 1 2 1 3 2 1 0 2 3 1 1 2 7 1 0 3 3 1 1 1 1 6 1 1 2 2 3 2 1 1 1 0 3 1 1 1 1 1 3 2 1 3 1 1 1 4 1 0 1 1 3 6 0 3 1 3 3 3 2 1 3 1 4 1 3 3 0 0 0 1 3 3
55,0.8618220781686632,0,0.0,55,............ 1 4 2 1 1 1 2 3 1 5 3 1 2 4 2 1 0 1 2 1 3 0 0 2 1 3 1 3 1 2 1 3 2 1 0 2 3 1 1 2 7 1 0 3 3 1 1 1 1 6 1 1 2 2 3 2 1 1 1 0 3 1 1 1 1 1 3 2 1 3 1 1 1 4 1 0 1 1 3 6 0 3 1 3 3 3 2 1 3 1 4 1 3 3 0 0 0 1 3 3
56,0.8618220781686632,0,0.0,56,............ 1 4 2 1 1 1 2 3 1 5 3 1 2 4 2 1 0 1 2 1 3 0 0 2 1 3 1 3 1 2 1 3 2 1 0 2 3 1 1 2 7 1 0 3 3 1 1 1 1 6 1 1 2 2 3 2 1 1 1 0 3 1 1 1 1 1 3 2 1 3 1 1 1 4 1 0 1 1 3 6 0 3 1 3 3 3 2 1 3 1 4 1 3 3 0 0 0 1 3 3
57,0.8618220781686632,0,0.0,57,............ 1 4 2 1 1 1 2 3 1 5 3 1 2 4 2 1 0 1 2 1 3 0 0 2 1 3 1 3 1 2 1 3 2 1 0 2 3 1 1 2 7 1 0 3 3 1 1 1 1 6 1 1 2 2 3 2 1 1 1 0 3 1 1 1 1 1 3 2 1 3 1 1 1 4 1 0 1 1 3 6 0 3 1 3 3 3 2 1 3 1 4 1 3 3 0 0 0 1 3 3
58,0.8618220781686632,0,0.0,58,............ 1 4 2 1 1 1 2 3 1 5 3 1 2 4 2 1 0 1 2 1 3 0 0 2 1 3 1 3 1 2 1 3 2 1 0 2 3 1 1 2 7 1 0 3 3 1 1 1 1 6 1 1 2 2 3 2 1 1 1 0 3 1 1 1 1 1 3 2 1 3 1 1 1 4 1 0 1 1 3 6 0 3 1 3 3 3 2 1 3 1 4 1 3 3 0 0 0 1 3 3
59,0.8618220781686632,0,0.0,59,............ 1 4 2 1 1 1 2 3 1 5 3 1 2 4 2 1 0 1 2 1 3 0 0 2 1 3 1 3 1 2 1 3 2 1 0 2 3 1 1 2 7 1 0 3 3 1 1 1 1 6 1 1 2 2 3 2 1 1 1 0 3 1 1 1 1 1 3 2 1 3 1 1 1 4 1 0 1 1 3 6 0 3 1 3 3 3 2 1 3 1 4 1 3 3 0 0 0 1 3 3
60,0.8618220781686632,0,0.0,60,............ 1 4 2 1 1 1 2 3 1 5 3 1 2 4 2 1 0 1 2 1 3 0 0 2 1 3 1 3 1 2 1 3 2 1 0 2 3 1 1 2 7 1 0 3 3 1 1 1 1 6 1 1 2 2 3 2 1 1 1 0 3 1 1 1 1 1 3 2 1 3 1 1 1 4 1 0 1 1 3 6 0 3 1 3 3 3 2 1 3 1 4 1 3 3 0 0 0 1 3 3
61,0.8618220781686632,0,0.0,61,............ 1 4 2 1 1 1 2 3 1 5 3 1 2 4 2 1 0 1 2 1 3 0 0 2 1 3 1 3 1 2 1 3 2 1 0 2 3 1 1 2 7 1 0 3 3 1 1 1 1 6 1 1 2 2 3 2 1 1 1 0 3 1 1 1 1 1 3 2 1 3 1 1 1 4 1 0 1 1 3 6 0 3 1 3 3 3 2 1 3 1 4 1 3 3 0 0 0 1 3 3
62,0.8618220781686632,0,0.0,62,............ 1 4 2 1 1 1 2 3 1 5 3 1 2 4 2 1 0 1 2 1 3 0 0 2 1 3 1 3 1 2 1 3 2 1 0 2 3 1 1 2 7 1 0 3 3 1 1 1 1 6 1 1 2 2 3 2 1 1 1 0 3 1 1 1 1 1 3 2 1 3 1 1 1 4 1 0 1 1 3 6 0 3 1 3 3 3 2 1 3 1 4 1 3 3 0 0 0 1 3 3
63,0.8618220781686632,0,0.0,63,............ 1 4 2 1 1 1 2 3 1 5 3 1 2 4 2 1 0 1 2 1 3 0 0 2 1 3 1 3 1 2 1 3 2 1 0 2 3 1 1 2 7 1 0 3 3 1 1 1 1 6 1 1 2 2 3 2 1 1 1 0 3 1 1 1 1 1 3 2 1 3 1 1 1 4 1 0 1 1 3 6 0 3 1 3 3 3 2 1 3 1 4 1 3 3 0 0 0 1 3 3
